	J	r_X	sigma_Lambda_over_Lambda	Tmax_over_tau_E	sigma_t	tau_rp	g_E	g_I	beta	K	ell	CV_K	idx_species	idx_combined
0	0.00013250987470912073	7.223654787813233	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
1	0.00013250987470912073	7.798924177765641	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
2	0.00013250987470912073	8.200380847048462	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
3	0.00013250987470912073	8.69466188434954	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
4	0.00013250987470912073	8.96791915194019	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
5	0.00013250987470912073	10.448903278206183	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
6	0.00013250987470912073	13.647212517198964	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
7	0.00044325198775167123	14.40723419230236	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
8	0.00044325198775167123	30.297973174770597	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
9	0.00044325198775167123	37.00783616898212	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
10	0.00044325198775167123	42.51592179615114	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
11	0.00044325198775167123	44.83909105483611	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
12	0.00044325198775167123	48.24001298218932	6.561565376532942	200.0	0.01	0.002	4.58230438517752	2.728729673586847	0.8067002563887169	500.0	2.5073713179796586	0.007286809919624974	1.0	0.0
13	0.00014397624075211917	13.473414232329256	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
14	0.00014397624075211917	14.265863567904153	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
15	0.00014397624075211917	14.561751812809668	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
16	0.00014397624075211917	14.99574844845746	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
17	0.00014397624075211917	15.213529819035267	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
18	0.00014397624075211917	17.246075018100672	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
19	0.00014397624075211917	23.182574542522925	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	1.9003570443737805	0.015187274194870528	0.0	1.0
20	0.00014397624075211917	30.549662717263622	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
21	0.00014397624075211917	50.380023770150565	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
22	0.00014397624075211917	60.59853781329996	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
23	0.00014397624075211917	71.93143575210684	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
24	0.00014397624075211917	74.36673026042722	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
25	0.00014397624075211917	77.5102893862237	1.7167434820209588	200.0	0.01	0.002	4.201485230426759	3.2440402983513326	0.17874068447779198	500.0	5.442265219172208	0.015187274194870528	1.0	1.0
26	0.00013250987470912073	7.223654787813233	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
27	0.00013250987470912073	7.798924177765641	0.7852976206468583	200.0	0.01	0.002	9.972540734940784	8.399857837811428	0.33377119484906065	500.0	4.140694372426178	0.0199846588484741	0.0	0.0
