23.167685	38.804006	12.922383	45.286934	41.582143	0.044779	0.955364	0.504355
37.316482	54.122622	20.269737	49.279045	42.274448	0.064374	0.937742	0.393691
54.950373	69.864424	27.579108	51.451251	41.405165	0.049595	0.876583	0.480729
67.925215	78.592436	31.877454	50.283659	38.665654	0.004624	0.758456	0.206813
61.895132	73.179035	40.891051	53.845446	35.868270	-0.025730	0.829862	0.306718
68.191877	75.914049	45.458028	54.778831	33.511622	-0.084566	0.713587	0.156860
70.680786	74.482929	50.319265	56.822279	31.715597	-0.162224	0.443874	0.092005
67.786392	70.393385	50.546144	56.055945	31.395864	-0.198072	0.411427	0.063219
66.096725	76.323990	46.160418	52.051665	32.851486	-0.232536	0.539799	0.096813
64.900774	71.162388	46.872447	53.475672	36.155165	-0.247553	0.423571	0.093260
63.800072	73.741609	47.053035	51.032862	40.297029	-0.383960	0.402390	0.095784
66.582181	75.557373	49.957669	53.266950	38.347052	-0.377512	0.376689	0.078074
66.245168	67.852602	47.579852	52.091397	37.110962	-0.336382	0.312355	0.065132
72.817406	72.289091	48.727325	53.705386	42.427030	-0.373215	0.306611	0.064380
71.274680	69.944367	48.999101	51.299901	39.923453	-0.438568	0.240331	0.039539
70.862012	67.681543	50.621155	54.680729	37.392449	-0.350946	0.226123	0.030730
73.766308	69.335197	49.269861	51.738151	39.400331	-0.419066	0.153133	0.032149
71.887986	69.274517	50.041747	52.516928	39.431371	-0.420183	0.132668	0.020069
70.121888	67.606386	52.236241	54.714463	44.183417	-0.428944	0.109030	0.007289
89.006690	84.798139	48.123699	56.610111	43.125787	-0.298276	0.130059	0.002479
