	J	r_X	sigma_Lambda_over_Lambda	Tmax_over_tau_E	sigma_t	tau_rp	g_E	g_I	beta	K	ell	CV_K	idx_species	idx_combined
0	0.0007312368555176851	3.6875959216006393	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
1	0.0007312368555176851	4.061587355100946	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
2	0.0007312368555176851	4.222099564079653	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
3	0.0007312368555176851	4.45624041562253	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
4	0.0007312368555176851	4.578019907363396	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
5	0.0007312368555176851	5.90959979028158	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
6	0.0007312368555176851	9.743041232283613	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
7	0.0007251517129448396	10.868131402934763	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
8	0.0007251517129448396	22.692650922520617	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
9	0.0007251517129448396	28.37137449225286	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
10	0.0007251517129448396	32.46075900052354	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
11	0.0007251517129448396	34.19607833818938	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
12	0.0007251517129448396	36.50845518789741	8.573775023753248	200.0	0.01	0.002	8.105615112078505	4.696530852364691	1.7875342878014224	500.0	3.310851464529854	0.006960483405493414	1.0	0.0
13	9.988606724445255e-05	10.40571031005252	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
14	9.988606724445255e-05	11.669334219358815	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
15	9.988606724445255e-05	12.311551384371931	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
16	9.988606724445255e-05	13.202943919712839	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
17	9.988606724445255e-05	13.621787451645655	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
18	9.988606724445255e-05	18.46886729678453	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
19	9.988606724445255e-05	24.903677862696235	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	2.382021361329143	0.005649043158408668	0.0	1.0
20	9.988606724445255e-05	31.957583350130534	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
21	9.988606724445255e-05	53.74634188292463	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
22	9.988606724445255e-05	65.09856517348874	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
23	9.988606724445255e-05	73.7599979642924	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
24	9.988606724445255e-05	77.20268383271905	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
25	9.988606724445255e-05	82.20613486791149	1.6161139676193121	200.0	0.01	0.002	8.09590637488687	6.8236852630745926	0.17703615627454092	500.0	7.309689200687516	0.005649043158408668	1.0	1.0
26	0.0007312368555176851	3.6875959216006393	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
27	0.0007312368555176851	4.061587355100946	0.9039013550373425	200.0	0.01	0.002	8.79804805611206	7.6417372860326145	0.2556614484940212	500.0	12.686237092363129	0.025805930402360053	0.0	0.0
